datasourceid,time,pm25,no2
DIIPF3878,2026-02-10T13:48:25.000Z,21.55,36.27
DDFTD2975,2026-01-27T02:53:09.000Z,27.06,
DVNGV1890,2026-02-10T23:09:16.000Z,23.62,32.22
DVWMK9661,2026-02-10T15:21:37.000Z,26.81,17.13
DBASA0396,2026-01-27T02:47:29.000Z,26.64,
DIPDE7442,2026-02-10T14:39:26.000Z,29.22,39.71
DLFZU4679,2026-02-10T15:09:26.000Z,25.49,32.13
DXIGM4223,2026-02-10T23:56:54.000Z,24.69,34.43
DMVDY6300,2026-02-10T15:23:46.000Z,28.0,18.66
DEWGT8066,2026-02-10T15:06:55.000Z,27.41,22.27
DDHVZ6546,2026-02-10T15:31:19.000Z,29.25,22.58
DTVYY1142,2026-02-10T14:22:29.000Z,27.51,29.66
DLJWW1620,2026-02-10T15:36:44.000Z,27.38,26.22
DYLLV9237,2026-02-10T14:35:40.000Z,29.82,29.18
DWGYM0810,2026-02-10T20:10:01.000Z,34.51,12.38
DGEPF8361,2026-01-27T02:59:09.000Z,33.77,
DWGYM0810,2026-02-10T15:16:54.000Z,35.13,17.32
DFESS1920,2026-02-10T14:04:25.000Z,20.01,34.63
DLAIF4030,2026-02-10T15:25:42.000Z,30.92,24.78
DYSHC8669,2026-02-10T14:15:45.000Z,23.22,31.19
DZLAV7766,2026-01-27T03:36:53.000Z,27.32,
DUDWN9545,2026-02-10T15:20:08.000Z,26.09,23.01
DVWMK9661,2026-02-10T15:04:39.000Z,26.53,20.76
DIVZD0266,2026-02-10T15:19:36.000Z,27.33,35.51
DVPZF1960,2026-01-27T04:19:16.000Z,27.9,
DBDSX9338,2026-02-11T00:02:05.000Z,37.95,17.63
DQZIL1804,2026-02-10T13:54:53.000Z,23.61,32.54
DGZUS1041,2026-02-10T15:35:13.000Z,26.93,24.16
DPCUT7707,2026-02-10T04:53:35.000Z,17.13,30.59
DQIUL8061,2026-01-26T21:15:26.000Z,73.66,
DZIHS7092,2026-02-10T14:51:11.000Z,26.88,22.81
DIUDG6358,2026-02-10T14:46:46.000Z,34.13,28.0
DWZPM1574,2026-02-10T05:21:45.000Z,28.58,14.06
DBZCJ6205,2026-02-10T15:00:36.000Z,27.74,28.62
DZUWB2477,2026-02-10T15:27:52.000Z,28.84,19.85
DZKWB0839,2026-01-27T12:51:43.000Z,29.14,
DWEIE9311,2026-02-10T04:43:29.000Z,26.61,19.63
