datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DACZY2913,2026-01-26T18:27:32.000Z,9.68,
DACZY2913,2026-01-27T04:22:16.000Z,13.135,
DACZY2913,2026-01-27T06:04:14.000Z,13.163333333333334,
DACZY2913,2026-02-10T20:05:10.000Z,15.11,11.16
DAETQ5676,2026-01-26T18:02:44.000Z,12.29,
DAEXF8484,2026-01-26T21:04:47.000Z,19.98,
DAEXF8484,2026-01-27T01:06:27.000Z,14.315000000000001,
DAEXF8484,2026-01-27T03:07:16.000Z,15.300000000000002,
DAEXF8484,2026-01-27T08:00:49.000Z,15.637500000000001,
DAHAJ0678,2025-11-28T02:25:59.513Z,7.26,
DAHAJ0678,2026-01-11T22:57:12.000Z,6.48,
DAHAJ0678,2026-01-21T15:01:10.000Z,14.31,
DAHAJ0678,2026-01-26T15:38:45.000Z,8.32,
DAHAJ0678,2026-01-26T18:33:39.000Z,8.985,
DAHAJ0678,2026-01-27T03:00:46.000Z,11.796666666666667,
DAHAJ0678,2026-01-27T14:22:28.000Z,11.4125,
DAHAJ0678,2026-02-27T13:31:45.000Z,23.34,
DAHWZ2321,2026-01-26T13:14:26.000Z,7.85,
DAHWZ2321,2026-01-27T06:56:02.000Z,12.855,
DAHWZ2321,2026-01-27T07:13:19.000Z,14.203333333333333,
DAHWZ2321,2026-01-27T11:15:14.000Z,14.9225,
DAJHM7956,2026-01-26T13:14:55.000Z,15.34,
DAJHM7956,2026-01-27T04:28:06.000Z,17.075,
DAJHM7956,2026-02-10T04:48:24.000Z,16.06,15.75
DALBP5360,2026-01-26T13:32:19.000Z,5.97,
DALBP5360,2026-01-26T20:27:45.000Z,9.2,
DALBP5360,2026-01-27T01:04:44.000Z,8.773333333333333,
DALBP5360,2026-01-27T04:15:10.000Z,9.57,
DALBP5360,2026-01-27T06:16:20.000Z,10.412,
DALBP5360,2026-01-27T14:03:37.000Z,10.676,
DALBP5360,2026-02-10T20:45:50.000Z,15.1,12.27
DAMWS8859,2026-01-26T14:35:35.000Z,8.47,
DAPBK7657,2026-01-26T13:25:55.000Z,7.73,
DAPBK7657,2026-01-26T21:33:19.000Z,10.46,
DAPBK7657,2026-01-27T06:15:28.000Z,11.643333333333333,
DAPJK7781,2026-01-27T10:18:12.000Z,11.54,
DAREG6245,2026-01-15T10:51:00.000Z,3.51,
DAREG6245,2026-01-26T12:54:09.000Z,10.38,
DAREG6245,2026-01-26T20:50:52.000Z,12.5,
DAREG6245,2026-01-27T04:29:52.000Z,16.28,
DAREG6245,2026-01-27T11:15:41.000Z,16.0375,
DAREG6245,2026-02-10T20:05:49.000Z,17.29,14.34
DARLP7776,2026-01-26T14:59:44.000Z,10.2,
DARLP7776,2026-01-26T15:51:09.000Z,9.715,
DARLP7776,2026-01-26T17:51:04.000Z,10.11,
DARLP7776,2026-01-27T04:42:04.000Z,11.95,
DARLP7776,2026-01-27T07:16:12.000Z,12.839999999999998,
DARLP7776,2026-02-10T05:08:21.000Z,18.29,20.74
DATLR2184,2026-01-26T17:31:52.000Z,9.9,
DATLR2184,2026-01-27T03:43:29.000Z,12.91,
DATLR2184,2026-01-27T09:15:28.000Z,14.586666666666668,
DATLR2184,2026-01-27T11:52:45.000Z,15.07,
DATLR2184,2026-01-27T14:12:33.000Z,14.242,
DAUPG9028,2026-01-27T00:10:57.000Z,10.72,
DAUPG9028,2026-01-27T12:42:38.000Z,11.715,
DAUPG9028,2026-02-10T21:47:17.000Z,22.21,10.99
DAWAP1896,2026-01-26T23:03:29.000Z,11.43,
DAWAP1896,2026-01-27T03:08:49.000Z,13.309999999999999,
DAWAP1896,2026-01-27T04:36:27.000Z,13.556666666666667,
DAWAP1896,2026-01-27T05:29:01.000Z,13.450000000000001,
DAWAP1896,2026-01-27T06:56:37.000Z,13.752,
DAWAP1896,2026-01-27T07:49:11.000Z,13.955,
DAWAP1896,2026-02-10T06:36:38.000Z,15.18,14.07
DAWUS6556,2026-01-27T10:56:26.000Z,13.22,
DAWUS6556,2026-02-20T21:49:12.000Z,9.31,
DAYYE9472,2026-01-26T16:30:40.000Z,9.45,
DAYYE9472,2026-01-27T05:22:10.000Z,14.35,
DBASA0396,2026-01-27T01:38:19.000Z,16.75,
DBASA0396,2026-01-27T02:47:29.000Z,21.695,
DBASA0396,2026-02-10T23:34:46.000Z,20.72,17.44
DBCBA3610,2026-02-10T14:45:28.000Z,23.7,18.19
DBCBA3610,2026-02-10T20:35:00.000Z,19.735,16.65
DBDBP2246,2026-01-26T19:22:53.000Z,15.83,
DBDBP2246,2026-01-26T22:00:55.000Z,16.91,
DBDBP2246,2026-01-27T08:50:27.000Z,16.363333333333333,
DBDSX9338,2026-01-26T22:37:42.000Z,16.88,
DBDSX9338,2026-01-27T07:01:07.000Z,19.43,
DBDSX9338,2026-02-10T23:10:15.000Z,23.13,21.9
DBDSX9338,2026-02-11T00:02:05.000Z,30.54,19.765
DBFUZ7169,2026-01-27T04:27:41.000Z,17.96,
DBFUZ7169,2026-01-27T04:45:09.000Z,17.65,
DBFUZ7169,2026-01-27T05:20:03.000Z,17.043333333333333,
DBIRF2035,2026-01-26T12:33:37.000Z,6.49,
DBIRF2035,2026-01-27T06:07:39.000Z,14.850000000000001,
DBIRF2035,2026-01-27T14:45:47.000Z,15.985,
DBIRF2035,2026-02-10T20:24:24.000Z,16.91,17.45
DBIZF0451,2026-01-26T15:02:27.000Z,9.09,
DBIZF0451,2026-01-26T19:41:16.000Z,10.295,
DBIZF0451,2026-01-26T21:25:49.000Z,11.76,
DBIZF0451,2026-01-27T11:04:45.000Z,12.4425,
DBIZF0451,2026-01-27T12:14:24.000Z,12.464000000000002,
DBJPV1452,2026-01-27T03:37:22.000Z,18.95,
DBLXJ4454,2026-01-26T22:13:09.000Z,12.22,
DBLXJ4454,2026-01-27T14:19:38.000Z,12.06,
DBLXJ4454,2026-01-27T14:37:12.000Z,11.96,
DBMHJ0743,2026-01-26T14:48:37.000Z,8.6,
DBMHJ0743,2026-01-26T23:57:05.000Z,11.68,
DBMHJ0743,2026-01-27T11:39:43.000Z,11.666666666666666,
DBTKW5792,2026-02-10T03:45:14.000Z,17.62,14.84
DBYCW6873,2026-01-26T18:12:52.000Z,7.31,
DBYCW6873,2026-01-27T07:45:39.000Z,10.975,
DBYCW6873,2026-01-27T12:39:27.000Z,11.176666666666668,
DBYCW6873,2026-01-27T14:05:52.000Z,10.535,
DBYCW6873,2026-02-10T04:50:50.000Z,17.63,15.71
DBZCJ6205,2026-01-26T12:22:40.000Z,13.38,
DBZCJ6205,2026-01-27T03:00:28.000Z,17.88,
DBZCJ6205,2026-01-27T03:52:06.000Z,19.006666666666664,
DBZCJ6205,2026-01-27T11:43:56.000Z,18.599999999999998,
DBZCJ6205,2026-02-10T15:00:36.000Z,27.74,28.62
DCABM0358,2026-01-26T23:18:15.000Z,14.36,
DCABM0358,2026-01-27T00:27:56.000Z,11.455,
DCABM0358,2026-01-27T01:55:03.000Z,10.736666666666666,
DCABM0358,2026-01-27T12:46:40.000Z,10.9025,
DCABM0358,2026-02-10T06:25:32.000Z,17.87,14.29
DCABM0358,2026-02-10T06:42:54.000Z,18.92,13.239999999999998
DCAFN1583,2026-01-26T18:31:45.000Z,11.49,
DCAFN1583,2026-01-26T23:46:20.000Z,15.77,
DCAFN1583,2026-01-27T05:01:06.000Z,16.973333333333333,
DCFVE7122,2026-01-26T22:31:19.000Z,13.71,
DCFVE7122,2026-01-27T11:55:17.000Z,13.955,
DCFVE7122,2026-01-27T14:32:30.000Z,13.106666666666667,
DCHTB8281,2026-01-26T16:17:25.000Z,8.44,
DCHTB8281,2026-02-10T14:06:48.000Z,20.84,26.52
DCIJQ7018,2026-01-27T10:30:36.000Z,17.55,
DCIJQ7018,2026-02-10T15:08:46.000Z,25.64,22.31
DCIJQ7018,2026-02-10T20:56:59.000Z,21.605,16.0
DCIRD2804,2026-01-26T13:25:16.000Z,8.81,
