date,pm25_avg,no2_avg,records
2025-09-18,,14.39,1
2025-11-10,2.67,,1
2025-11-11,,,1
2025-11-28,7.26,,1
2025-11-30,9.47,,2
2025-12-01,17.48,,1
2025-12-07,10.010000000000002,,3
2025-12-08,3.2199999999999998,,2
2025-12-09,15.18,,1
2025-12-10,4.245,,2
2025-12-11,6.48,,2
2025-12-12,15.64,,1
2025-12-14,6.566666666666666,,3
2025-12-15,,,1
2025-12-19,8.129999999999999,,4
2025-12-20,6.006666666666667,,3
2025-12-21,7.376666666666668,,3
2025-12-29,6.57,,1
2025-12-30,4.555,,2
2026-01-01,3.7750000000000004,,2
2026-01-02,9.71,,1
2026-01-05,20.0,,1
2026-01-11,6.48,,1
2026-01-14,4.13,,1
2026-01-15,3.5,,2
2026-01-17,4.69,,3
2026-01-18,,,2
2026-01-19,,,1
2026-01-21,14.31,,2
2026-01-25,6.925000000000001,,2
2026-01-26,11.056970802919707,,274
2026-01-27,14.032783018867928,,425
2026-01-29,,,1
2026-01-30,3.24,,1
2026-01-31,3.5366666666666666,,4
2026-02-01,,,1
2026-02-03,4.12,,1
2026-02-04,8.69,,3
2026-02-05,25.23,,2
2026-02-06,,,1
2026-02-07,3.6550000000000002,,2
2026-02-10,20.17534653465347,18.01727722772278,202
2026-02-11,22.051666666666666,18.046,6
2026-02-20,10.165,,3
2026-02-23,4.26,,1
2026-02-24,8.7,,1
2026-02-27,23.585,,2
2026-02-28,,,1
2026-03-01,4.042,,5
2026-03-14,4.7,,1
2026-03-17,4.7,,4
2026-03-23,6.38,,1
2026-03-24,5.445,,2
2026-04-07,3.84,,1
2026-05-02,,,2
