datasourceid,pm25_avg,pm25_min,pm25_max,pm25_count,no2_avg,no2_min,no2_max,no2_count
DQIUL8061,42.04,10.42,73.66,2,,,,0
DDFTD2975,27.06,27.06,27.06,1,,,,0
DGEPF8361,26.540000000000003,21.28,33.77,3,12.47,12.47,12.47,1
DWTBK5575,25.49,25.49,25.49,1,23.06,23.06,23.06,1
DIUDG6358,25.29,16.45,34.13,2,28.0,28.0,28.0,1
DBDSX9338,24.985,16.88,37.95,4,19.765,17.63,21.9,2
DWGYM0810,24.3,11.5,35.13,5,13.753333333333336,11.56,17.32,3
DLJWW1620,24.113333333333333,20.89,27.38,3,22.064999999999998,17.91,26.22,2
DITUM6528,22.67,22.67,22.67,1,17.42,17.42,17.42,1
DRJPX9457,21.83,21.83,21.83,1,,,,0
DLIKU5639,21.630000000000003,17.3,25.96,2,20.365000000000002,18.17,22.56,2
DIVZD0266,21.47,18.9,27.33,4,35.51,35.51,35.51,1
DVPZF1960,21.447499999999998,17.37,27.9,4,,,,0
DBASA0396,21.37,16.75,26.64,3,17.44,17.44,17.44,1
DXWXZ1902,21.33,19.56,23.1,2,15.565,13.41,17.72,2
DZFVS4727,21.04,21.04,21.04,1,14.51,14.51,14.51,1
DFMDU1576,20.465,17.84,23.09,2,27.04,27.04,27.04,1
DBZCJ6205,20.428,13.38,27.74,5,28.62,28.62,28.62,1
DCIJQ7018,20.253333333333334,17.55,25.64,3,16.0,9.69,22.31,2
DVNGV1890,20.208000000000002,15.62,25.09,5,30.1,27.98,32.22,2
DRHPF2920,20.049999999999997,19.29,20.81,2,24.72,24.72,24.72,1
DFESS1920,20.01,20.01,20.01,1,34.63,34.63,34.63,1
DITUY8368,19.95,18.93,20.97,2,13.97,13.97,13.97,1
DPNPJ6846,19.874000000000002,14.25,25.19,5,17.53,16.49,18.54,4
DNEXF4696,19.816666666666666,17.53,21.8,3,27.35,25.98,28.72,2
DBCBA3610,19.735,15.77,23.7,2,16.65,15.11,18.19,2
DZUWB2477,19.7025,11.34,28.84,4,19.520000000000003,19.19,19.85,2
DZLAV7766,19.5075,10.88,27.32,8,17.2,17.2,17.2,1
DFIRX1818,19.447499999999998,16.38,24.19,4,10.88,10.88,10.88,1
DMAFX5938,19.395,17.48,21.31,2,12.85,12.85,12.85,1
DGZUS1041,19.145,11.36,26.93,2,24.16,24.16,24.16,1
DUDWN9545,19.02333333333333,13.66,26.09,3,23.01,23.01,23.01,1
DJSLY4013,18.963333333333335,18.64,19.5,3,27.18,27.18,27.18,1
DHNQG0980,18.95,17.68,21.21,3,12.46,12.46,12.46,1
DBJPV1452,18.95,18.95,18.95,1,,,,0
DZIHS7092,18.78,10.68,26.88,2,22.81,22.81,22.81,1
DXHYE9278,18.73,17.94,19.91,3,17.61,17.61,17.61,1
DKNMF4367,18.66,18.66,18.66,1,19.49,19.49,19.49,1
DXIGM4223,18.3575,15.24,24.69,4,34.43,34.43,34.43,1
DTVYY1142,18.315,9.32,27.51,4,29.66,29.66,29.66,1
DMYFE2499,18.262500000000003,10.11,25.01,4,15.620000000000001,13.4,17.84,2
DFAKZ8204,18.22,17.97,18.47,2,13.54,13.36,13.72,2
DVWMK9661,18.193333333333335,8.76,26.81,6,17.59,14.88,20.76,3
DUXLQ7589,17.845,13.53,22.16,2,12.99,12.99,12.99,1
DIWKR9442,17.825,15.06,20.59,2,23.67,23.67,23.67,1
DYUGS4351,17.669999999999998,12.69,25.81,3,13.975,12.92,15.03,2
DBTKW5792,17.62,17.62,17.62,1,14.84,14.84,14.84,1
DFDVG9143,17.503333333333334,6.99,23.56,3,14.719999999999999,13.51,15.93,2
DMHRT7456,17.395,13.7,20.17,4,,,,0
DCRJT8545,17.248333333333335,9.07,25.48,6,19.765,16.46,23.07,2
DYSHC8669,17.153333333333332,12.92,23.22,3,26.490000000000002,21.79,31.19,2
DPCUT7707,17.13,17.13,17.13,1,30.59,30.59,30.59,1
DCYXM8877,17.1125,10.19,20.78,4,13.73,10.39,17.07,2
DDHVZ6546,17.105,11.15,29.25,4,18.75,14.92,22.58,2
DMYYS7663,17.09,15.5,18.68,2,,,,0
DBFUZ7169,17.043333333333333,15.83,17.96,3,,,,0
DCAFN1583,16.973333333333333,11.49,20.05,3,,,,0
DQZEA3135,16.97,13.6,20.34,2,,,,0
DSHYP2656,16.776666666666667,14.12,21.48,3,28.9,28.9,28.9,1
DKUAZ4434,16.74,16.74,16.74,1,,,,0
DAJHM7956,16.736666666666665,15.34,18.81,3,15.75,15.75,15.75,1
DYLLV9237,16.721999999999998,8.54,29.82,5,29.18,29.18,29.18,1
DRUBP9408,16.72,16.72,16.72,1,,,,0
DEWGT8066,16.657999999999998,10.32,27.41,5,22.27,22.27,22.27,1
DWZPM1574,16.616,9.67,28.58,5,11.155000000000001,8.25,14.06,2
DYWEY8508,16.585,9.33,23.84,2,17.9,17.9,17.9,1
DWMKK1484,16.580000000000002,14.24,19.05,4,15.26,15.26,15.26,1
DPDDG5192,16.544,13.72,20.04,5,,,,0
DQZIL1804,16.536666666666665,11.15,23.61,3,32.54,32.54,32.54,1
DSKEW3707,16.490000000000002,15.41,17.57,2,,,,0
DSZQR8376,16.48857142857143,9.38,21.0,7,9.545,7.43,11.66,2
DIXEX6164,16.37,12.21,19.89,6,9.78,9.04,10.52,2
DBDBP2246,16.363333333333333,15.27,17.99,3,,,,0
DJGDZ3688,16.333333333333332,13.98,19.22,3,,,,0
DMFEL5431,16.27,13.65,19.92,4,15.75,15.75,15.75,1
DFEAJ0038,16.254285714285714,3.42,25.23,7,,,,0
DJIHM1001,16.16,14.83,17.49,2,19.78,17.84,21.72,2
DHSIJ5379,16.16,14.38,17.3,4,11.16,11.16,11.16,1
DKISS7174,16.115,8.83,22.47,6,,,,0
DCQTB2627,16.099999999999998,8.41,22.84,3,9.03,9.03,9.03,1
DIRJX6254,16.02,10.01,22.03,2,23.36,23.36,23.36,1
DZBKX0961,15.934000000000001,8.82,23.08,5,11.790000000000001,11.18,12.31,3
DJWGZ0445,15.8775,10.42,23.08,4,20.83,20.59,21.07,2
DQABT4506,15.8525,12.25,18.1,4,20.83,20.71,20.95,2
DVPEA0040,15.825,13.35,19.24,4,9.04,9.04,9.04,1
DTUGZ9693,15.773333333333335,7.19,21.6,3,13.96,13.96,13.96,1
DICQL6656,15.676666666666668,12.95,17.83,3,12.48,12.48,12.48,1
DAEXF8484,15.6375,8.65,19.98,4,,,,0
DMLFU0523,15.60666666666667,8.95,21.82,3,9.825,6.95,12.7,2
DWCTD3003,15.565,13.03,20.33,4,,,,0
DNCCJ5144,15.469999999999999,10.42,24.54,5,15.739999999999998,14.6,16.88,2
DYZXT2661,15.45,13.75,17.15,2,,,,0
DQWCU6663,15.433333333333332,13.37,19.55,3,11.01,11.01,11.01,1
DFAQM2360,15.423333333333332,10.45,19.68,6,,,,0
DWEIE9311,15.413333333333332,7.59,26.61,3,19.63,19.63,19.63,1
DGDNA0617,15.365,11.53,24.29,4,15.5,15.5,15.5,1
DWMLU4849,15.35,9.65,19.15,3,,,,0
DQVGW1846,15.336666666666668,14.43,17.1,3,13.75,13.75,13.75,1
DFCTF9310,15.335,8.92,21.75,2,,,,0
DLFZU4679,15.3225,9.92,25.49,4,32.13,32.13,32.13,1
DIXUN6634,15.316666666666668,8.94,19.66,6,10.149999999999999,9.68,10.62,2
DFVRF7063,15.29,8.1,22.48,2,21.05,21.05,21.05,1
DYWHJ8696,15.29,8.37,22.21,2,16.21,16.21,16.21,1
DXUQX7513,15.28,15.28,15.28,1,17.46,17.46,17.46,1
DAUPG9028,15.213333333333333,10.72,22.21,3,10.99,10.99,10.99,1
DMTRR1120,15.198333333333332,8.57,20.58,6,,,,0
DQJVA6225,15.06,13.95,16.17,2,,,,0
DMKJB8675,15.046666666666667,9.6,24.93,3,13.71,13.71,13.71,1
DFIBC1899,15.007142857142856,10.05,20.7,7,,,,0
DGTDZ6242,14.9725,6.36,22.4,4,21.7,21.7,21.7,1
DAHWZ2321,14.9225,7.85,17.86,4,,,,0
DRDZF3698,14.92,7.29,18.79,3,22.119999999999997,19.34,24.9,2
DFDFU1164,14.905000000000001,10.14,19.67,2,21.14,21.14,21.14,1
DHZTI7858,14.88,9.08,23.3,3,19.06,19.06,19.06,1
DQTUI1287,14.82,10.35,24.54,4,8.41,8.41,8.41,1
DJCYU2364,14.7225,9.9,22.07,4,18.87,18.87,18.87,1
DTCRA7818,14.712,10.13,18.14,5,19.67,19.67,19.67,1
DPQMK5751,14.69,14.69,14.69,1,,,,0
DVYCN4987,14.685,10.91,18.46,2,,,,0
DCHTB8281,14.64,8.44,20.84,2,26.52,26.52,26.52,1
DEQFM3089,14.607142857142858,9.64,22.91,7,18.099999999999998,15.79,22.51,3
DGAID0757,14.58,14.58,14.58,1,12.69,12.69,12.69,1
DIUZJ7853,14.5,12.37,17.32,6,,,,0
DNUKL3524,14.4575,10.11,18.54,4,23.08,23.08,23.08,1
DMVDY6300,14.373333333333335,7.07,28.0,3,18.66,18.66,18.66,1
DJHFB1439,14.37,14.37,14.37,1,,,,0
DAYYE9472,14.35,9.45,19.25,2,,,,0
DSKDX3738,14.334,7.78,18.58,5,,,,0
DZKWB0839,14.3275,6.72,29.14,4,,,,0
DATLR2184,14.242,9.9,17.94,5,,,,0
DWMUZ3935,14.219999999999999,6.16,22.6,5,,,,0
DMLBL6950,14.18,14.18,14.18,1,,,,0
DAREG6245,14.158333333333331,3.51,23.84,6,14.34,14.34,14.34,1
DAWAP1896,14.129999999999999,11.43,15.19,7,14.07,14.07,14.07,1
DFRKF1779,14.1025,9.93,16.89,4,,,,0
DXRZC4102,14.100000000000001,9.26,18.94,2,21.09,21.09,21.09,1
DRILK5150,14.075,10.29,19.65,4,,,,0
DUNKA8014,14.07,12.88,16.0,3,,,,0
DKRXT7147,13.995000000000001,12.82,15.17,2,,,,0
DKXFR1580,13.973333333333334,7.46,18.87,3,21.85,21.85,21.85,1
DYDVV6312,13.965,9.22,18.71,2,18.77,18.77,18.77,1
DPWHE0976,13.910000000000002,10.53,18.59,6,15.625,15.17,16.08,2
DEIDA3268,13.875,9.99,17.76,2,,,,0
DBIRF2035,13.8425,6.49,23.21,4,17.45,17.45,17.45,1
DARLP7776,13.748333333333335,9.23,18.29,6,20.74,20.74,20.74,1
DSSQU9498,13.72,6.21,24.41,12,25.276666666666667,20.51,27.8,3
DDQNT6485,13.7175,9.43,18.26,4,,,,0
DHJUH1119,13.662499999999998,8.67,18.09,4,17.59,15.64,19.54,2
DACZY2913,13.65,9.68,16.59,4,11.16,11.16,11.16,1
DXEMM9791,13.6325,8.17,20.4,4,18.63,18.63,18.63,1
